"COD","CODINTEGR","TITULO","TITABREV","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","FECHA_NOTA","NIVEL"
"814","814","Servicios domésticos","","81","Servicios domésticos es el estudio de varias ocupaciones relacionadas con el servicio doméstico, como ama de llaves, limpieza de la casa, lavado, cosido, ...
Comprende los programas educativos con los siguientes contenidos principales:

· Conserjería, ama de llaves y trabajadores de servicio doméstico
· Limpieza en seco, lavandería
· Servicios funerarios y mortuorios
· Programas de limpieza incluso si están directamente enfocados a limpieza de colegios, hospitales, fábricas, ... .","No comprende los programas educativos con los siguientes contenidos principales:

Los estudios de mantenimiento de los elementos de edificios (fontanería, electricidad, ...) (véase 582)","","SI","","",3
"852","852","Entornos naturales y vida salvaje","","85","Entornos naturales y vida salvaje es el estudio de las relaciones entre organismos vivos en entornos naturales, con objeto de proteger la naturaleza y la vida salvaje. Incluye el estudio del establecimiento y mantenimiento de parques nacionales para preservar su estado natural original, .... 
Comprende los programas educativos con los siguientes contenidos principales:

· Gestión de parques nacionales y vida salvaje
· Conservación de la naturaleza","No comprende los programas educativos con los siguientes contenidos principales:

· El estudio de la silvicultura y horticultura (véase 62) 
· El estudio de la caza y la puesta de trampas (véase 623)","","SI","","",3
"853","853","Servicios de saneamiento a la comunidad","","85","Servicios de saneamiento a la comunidad es el estudio de los servicios comunitarios relativos a temas que afecten a la salud pública, como normas de higiene en alimentos, suministro de agua, proceso de aguas residuales, recogida de basuras y limpieza de calles. 
Comprende los programas educativos con los siguientes contenidos principales:

· Recogida de basuras, limpieza de calles
· Suministro de agua (servicio)","","","SI","","",3
"861","861","Protección de la propiedad y las personas","","86","Protección de la propiedad y las personas es el estudio de los servicios a la comunidad relativos a la protección de la propiedad y las personas. Incluye enseñanzas en servicios policiales, seguridad pública, protección y lucha contra incendios.
Comprende los programas educativos con los siguientes contenidos principales:

· Tecnología de prevención de incendios
· Estudios policiales<br>· Guardas de prisiones
· Servicios de seguridad","No comprende los programas educativos con los siguientes contenidos principales:

· El estudio de la ley (véase 380)
· El estudio de la criminología (véase 312)","","SI","","",3
"863","863","Enseñanza militar","","86","La enseñanza Militar, es el fundamento del ejercicio profesional en las Fuerzas Armadas, diseñada para proporcionar al militar profesional los conocimientos necesarios para ejercerlas funciones de mando, administración y logística, de apoyo al mando, técnicas facultativas y docentes.
Comprende los programas educativos con los siguientes contenidos principales:

· Enseñanza Militar de Formación
· Enseñanza Militar de Perfeccionamiento
· Altos Estudios Militares","","","SI","","",3
"900","900","Sectores desconocidos o no especificados","","90","Este sector no forma parte de la clasificación en sí misma, pero ante la imposibilidad de que el usuario pueda clasificar determinados estudios, siguiendo las recomendaciones de la UNESCO se ha decidido crear un sector para los tipos de estudios desconocidos o que no se encuentran especificados en la clasificación.
Se recomienda que este código se utilice lo menos posible intentando clasificar los programas por aproximación en otros códigos de la clasificación.","","","SI","","",3
"214","214","Diseño","","21","Diseño es el estudio de combinar creativamente líneas, formas y telas para diseñar y fabricar, por ejemplo, prendas de moda, productos industriales y decoración de interiores. 
Comprende los programas educativos con los siguientes contenidos principales:

· Diseño de ropa y de alta costura
· Diseño de productos industriales
· Diseño de interiores
· Decoración, escenografía, diseño de escaparates","No comprende los programas educativos con los siguientes contenidos principales:

· El diseño industrial se excluye de este sector si el énfasis se hace en asuntos técnicos y no artísticos (véase 52)
· El diseño de publicaciones y el diseño gráfico (véase 213)","","SI","","",3
"215","215","Artesanía","","21","Artesanía es el estudio de técnicas y habilidades asociadas a oficios artesanales como joyería, elaboración de vasijas, tejeduría, tallado de madera, ... .
Comprende los programas educativos con los siguientes contenidos principales:

· Artesanía del cristal y el vidrio, cerámica
· Artesanía, producción artesanal<br>· Joyería, orfebrería, platería
· Construcción artesana de instrumentos musicales, reparación y afinación 
· Talla en piedra, en madera, artesanía decorativa en metal
· Floristería (decoración floral)","No comprende los programas educativos con los siguientes contenidos principales:

El estudio de la producción industrial de vasijas, materiales tejidos, bordado, ... se excluye de este sector y se incluye en alguno de los grupos detallados bajo el sector 5.","","SI","","",3
"313","313","Ciencias políticas","","31","Ciencias políticas es el estudio de los gobiernos y de los principios y prácticas políticas. Se incluyen temas relacionados con los derechos y deberes de los ciudadanos. Este sector consta en gran medida de programas de educación superior. Comprende los programas educativos con los siguientes contenidos principales:

· Ciencias políticas, historia política
· Derechos humanos
· Relaciones internacionales","No comprende los programas educativos con los siguientes contenidos principales:

· El estudio de la economía política (véase 314)","","SI","","",3
"314","314","Economía","","31","Economía es el estudio de la política económica, teoría económica y toma de decisiones económicas. Este sector consta en gran medida de programas de educación superior. 
Comprende los programas educativos con los siguientes contenidos principales:

· Historia de la economía, economía política
· Ciencias económicas","No comprende los programas educativos con los siguientes contenidos principales:

· Los estudios económicos en los que se hace énfasis en los negocios (véase 34)","","SI","","",3
"343","343","Finanzas, banca y seguros","","34","Finanzas, banca y seguros es el estudio de la planificación, dirección, organización y control de actividades y servicios financieros. Incluye el control y seguimiento de los recursos financieros de las organizaciones, instituciones e individuos, y la provisión de servicios financieros corporativos e individuales. Comprende los programas educativos con los siguientes contenidos principales:

· Finanzas y banca, teoría de las finanzas
· Análisis de inversiones, agente de inversiones, fondos de pensiones
· Seguridad social, seguros","No comprende los programas educativos con los siguientes contenidos principales:

· El estudio de las ciencias actuariales (véase 462)","","SI","","",3
"346","346","Secretariado y trabajo administrativo","","34","Secretariado y trabajo administrativo es el estudio de los procedimientos y prácticas administrativas, tecnologías de ofimática, taquigrafía y mecanografía. Programas de secretariado especializados (bilingüe, médico, derecho, contabilidad, ...) se incluyen si el programa está enfocado al trabajo de secretariado, más que al de asistente especializado.
Comprende los programas educativos con los siguientes contenidos principales:

. Servicios de secretariado y administrativos
· Programas de secretariado en lenguas extranjeras, en leyes, en medicina, ... 
· Mecanografía, taquigrafía 
· Operador/a centralita, formación de recepcionista","No comprende los programas educativos con los siguientes contenidos principales:

. Los programas formativos para usar un software de ordenador específico (véase 482)
. Los programas educativos para recepcionista de hotel (véase 811)","","SI","","",3
"622","622","Horticultura","","62","Horticultura es el estudio de la tecnología y gestión de la horticultura, floricultura, métodos de invernaderos, jardinería ornamental,... 
Comprende los programas educativos con los siguientes contenidos principales:

. Floricultura, horticultura o Creación y acabado de parques y jardines","No comprende los programas educativos con los siguientes contenidos principales:

· El estudio de cultivos comestibles (véase 621)
· Los estudios de fertilidad del terreno y técnicas de irrigación (véase 621)
· La gestión de parques nacionales (véase 853)","","SI","","",3
"523","523","Electrónica y automática","","52","Electrónica y automática (ingeniería, técnica y profesiones afines) es el estudio de la planificación, diseño, desarrollo, mantenimiento y seguimiento de equipos electrónicos, maquinaria y sistemas. Incluye el diseño de ordenadores y equipos de comunicaciones.
Comprende los programas educativos con los siguientes contenidos principales:

· Instalación y mantenimiento de equipos de comunicaciones
· Reparación de ordenadores
· Tecnología digital
· Ingeniería electrónica
· Tecnologías de redes
· Robótica
· Tecnología de telecomunicaciones
· Reparación de radio y televisión","No comprende los programas educativos con los siguientes contenidos principales:

· Diseño de sistemas informáticos y aplicaciones de software (véase 481)","","SI","","",3
"525","525","Vehículos de motor, barcos y aeronaves","","52","Vehículos de motor, barcos y aeronaves (ingeniería, técnica y profesiones afines) es el estudio del diseño, desarrollo, producción, mantenimiento, diagnóstico, reparación y servicio posventa de vehículos de motor, incluyendo equipos de movimiento de tierras y maquinaria agrícola. Es típica la combinación de estudios tanto en estructuras de metal como en motores.
Comprende los programas educativos con los siguientes contenidos principales:

· Ingeniería de automóviles, de motocicletas, de aeronaves
· Construcción y reparación de barcos, de vehículos, de aeronaves","No comprende los programas educativos con los siguientes contenidos principales:

. El estudio de la producción y reparación de vehículos sin motor, que se clasifica en el 521 Maquinaria y metalurgia (por ejemplo, bicicletas) o 543 Industrias de otros materiales (por ejemplo., barcas sin motor)","","SI","","",3
"543","543","Industrias de otros materiales ( madera, papel, plástico, vidrio)","","54","Industrias de otros materiales (industria y producción) es el estudio de la manufactura de productos en madera, papel, plástico, vidrio u otros materiales como piedra, arcilla, materiales artificiales,... . Los programas incluidos en este sector tienen más relación con un material específico que con el conocimiento general de una técnica.
Comprende los programas educativos con los siguientes contenidos principales:

· Fabricación de muebles
· Cerámica (industrial)
 Trabajo del vidrio (industrial)
· Fabricación de plástico, de caucho, de papel
· Industria maderera","No comprende los programas educativos con los siguientes contenidos principales:

· Los estudios en metalurgia (véase 521)
· Los estudios en carpintería de edificios (véase 582) 
· Los estudios en procesamientos químicos en general (véase 524)
· Los estudios en edición y encuadernación (véase 213)
· Los programas de artesanía como por ejemplo artes del vidrio, talla de madera, ... (véase 215)","","SI","","",3
"723","723","Enfermería y atención a enfermos","","72","Enfermería es el estudio de proporcionar cuidados médicos para enfermedades, incapacidades, y asistencia a médicos y a otros profesionales médicos y de la salud para diagnosticar y tratar pacientes. El objetivo de la cualificación en enfermería es el mantenimiento y cuidado de la salud durante la enfermedad y rehabilitación. Incluye cuidados para ancianos y discapacitados. Comprende los programas educativos con los siguientes contenidos principales:

· Enfermería
. Matrona
· Ayudante de enfermería/celador
. Programas de cuidados que afecten tanto a cuidados de salud como a cuidados sociales","No comprende los programas educativos con los siguientes contenidos principales:

· La enfermería veterinaria (véase 641)
· Los cuidados de niños, si no son de salud (véase 761)","","SI","","",3
"811","811","Hosteleria","","81","Hostelería es el estudio de proporcionar comida, bebida, acomodación y servicios relacionados en hoteles, restaurantes, .. 
Comprende los programas educativos con los siguientes contenidos principales:

· Servicio de comidas, de bar, de camareros
· Catering
· Formación para tripulaciones de vuelo
· Formación de recepcionista de hotel","No comprende los programas educativos con los siguientes contenidos principales:

· Los estudios de manipulación de alimentos en empresas industriales (véase 541)
· Las enseñanzas de recepcionista, distinto de hotel (véase 346)","","SI","","",3
"813","813","Deportes","","81","Deportes es el estudio de las técnicas y habilidades en un cierto deporte. 
Comprende los programas educativos con los siguientes contenidos principales:

· Los programas de entrenadores deportivos, árbitros y jueces deportivos
· Las técnicas y habilidades en un cierto deporte","No comprende los programas educativos con los siguientes contenidos principales:

· Las enseñanzas que reciben los profesores de educación física (véase 146)
· Los cursos de aprendizaje o perfeccionamiento de una actividad deportiva (tenis, golf, esquí,...), siempre que se trate de ocio, no constituyen un programa educativo.","","SI","","",3
"840","840","Servicios de transporte","","84","Servicios de transporte es el estudio del manejo, navegación y dirección de barcos, aeronaves y otras formas de transportes. Comprende los programas educativos con los siguientes contenidos principales:

· Control de tráfico aéreo
· Conducción de grúas y camiones, de vehículos de motor por carretera
· Programas de conducción de coches
· Navegación y vuelo, manejo de barcos, manejo de aeronaves
· Manejo de ferrocarril
· Programas de transporte

Comprende también:

. Servicios postales","No comprende los programas educativos con los siguientes contenidos principales:

· La formación de tripulaciones de vuelo (véase 811)
· Los programas en servicios de redes telefónicas (véase 523)
· Los programas en manejo de centralitas (véase 346)","","SI","","",3
"851","851","Control y tecnología medioambiental","","85","Control y tecnología medioambiental es el estudio de los procesos para minimizar los residuos y gastos de recursos naturales, y evitar la polución. Incluye progra-mas relativos al control del agua, aire, suelo, ... 
Comprende los programas educativos con los siguientes contenidos principales:

· Control de polución del aire, del agua, de contaminación sonora
· Tecnología ecológica
· Control de residuos industriales
· Reciclaje","No comprende los programas educativos con los siguientes contenidos principales:

. Los programas relativos a las normas de higiene en alimentos, agua, ...., (véase 853)","","SI","","",3
"6","6","Agricultura","","","","","","","","",1
"64","64","Veterinaria","","6","","","","","","",3
"72","72","Salud","","7","","","","","","",2
"8","8","Servicios","","","","","","","","",1
"84","84","Servicios de transporte","","8","","","","","","",2
"9","9","Sectores desconocidos o no especificados","","","","","","","","",1
"01","01","Programas de formación básica","","0","","","","","","",2
"1","1","Educación","","","","","","","","",1
"21","21","Artes","","2","","","","","","",2
"31","31","Ciencias sociales y del comportamiento","","3","","","","","","",2
"38","38","Derecho","","3","","","","","","",2
"42","42","Ciencias de la vida","","4","","","","","","",2
"48","48","Informática","","4","","","","","","",2
"54","54","Industria manufacturera y producción","","5","","","","","","",2
"76","76","Servicios Sociales","","7","","","","","","",2
"85","85","Protección del medio ambiente","","8","","","","","","",2
"08","08","Programas de alfabetización y de aritmética","","0","","","","","","",2
"22","22","Humanidades","","2","","","","","","",2
"344","344","Contabilidad y gestión de impuestos","","34","Contabilidad y gestión de impuestos es el estudio del mantenimiento, auditoría y registro de transacciones financieras. 
Comprende los programas educativos con los siguientes contenidos principales:
· Contabilidad, auditoría, teneduría de libros
· Gestión de impuestos","","","SI","","",3
"81","81","Servicios personales","","8","","","","","","",2
"90","90","Sectores desconocidos ono especificados","","9","","","","","","",2
